,name,words,sentences,flesch_vacca_72,flesch_vacca_86
0,3AnoressiaNervosa_ITA_MPT.txt,3001,140,-38.2,51.0
1,1AnoressiaNervosa_ITA_MSD.txt,2026,97,-43.6,48.2
2,6AnoressiaNervosa_ITA_SOM.txt,3053,91,-51.2,32.1
3,4AnoressiaNervosa_ITA_Wiki.txt,6346,187,-41.9,37.4
4,7AnoressiaNervosa_ITA_OML.txt,2863,117,-42.9,45.4
5,2AnoressiaNervosa_ITA_IPSICO.txt,1491,77,-41.6,50.8
6,8AnoressiaNervosa_ITA_ISS.txt,2973,103,-38.1,44.3
7,10AnoressiaNervosa_ITA_Intherapy.txt,1674,45,-49.8,29.6
8,5AnoressiaNervosa_ITA_APC.txt,755,36,-32.3,55.0
9,9AnoressiaNervosa_ITA_EIST.txt,3113,137,-28.0,55.9
